Latitude,Longitude,Comentários
-23.2606279,-45.8827515,14/01/2016 a noite
-23.2960755,-45.9315573,31/01/2016 de madrugada
-23.2466621,-45.8932689,15/01/2016 de madrugada
-21.7643631,-41.331792,15/01/2016 pela manhã
-23.0004296,-45.5504228,21/01/2016 a noite
-23.2347942,-45.8848355,16/01/2016 a noite
-23.2494194,-45.91271159999999,16/01/2016 a noite
-23.2347942,-45.8848355,17/01/2016 a noite
-23.2474402,-45.8326569,17/01/2016 de madrugada
-23.2494194,-45.91271159999999,17/01/2016 a noite
-23.2911513,-45.9018414,18/01/2016 pela manhã
-23.2432204,-45.9070145,18/01/2016 a tarde
-23.2510764,-45.89232020000001,18/01/2016 a noite
